	movie	year	imdb	metascore	votes
0	Gladiator	(2000)	8.5	67	1135608
1	Memento	(2000)	8.5	80	975391
2	Snatch	(2000)	8.3	55	683921
3	Requiem for a Dream	(2000)	8.3	68	662907
4	X-Men	(2000)	7.4	64	510147
5	Cast Away	(2000)	7.8	73	447838
6	American Psycho	(2000)	7.6	64	406965
7	Unbreakable	(2000)	7.2	62	293851
8	Meet the Parents	(2000)	7.0	73	283195
9	Mission: Impossible II	(2000)	6.1	59	269291
10	O Brother, Where Art Thou?	(2000)	7.8	69	250410
11	Gone in Sixty Seconds	(2000)	6.5	35	237125
12	Crouching Tiger, Hidden Dragon	(2000)	7.9	93	233059
13	The Patriot	(2000)	7.2	63	228133
14	Almost Famous	(2000)	7.9	90	226533
15	Pitch Black	(2000)	7.1	49	207967
16	Scary Movie	(2000)	6.2	48	205946
17	Me, Myself & Irene	(2000)	6.6	49	202180
18	Final Destination	(2000)	6.7	36	201094
19	The Beach	(I) (2000)	6.6	43	198728
20	Amores Perros	(2000)	8.1	83	198425
21	Traffic	(2000)	7.6	86	181117
22	Remember the Titans	(2000)	7.8	48	177127
23	What Women Want	(2000)	6.4	47	173816
24	How the Grinch Stole Christmas	(2000)	6.1	46	166186
25	Chocolat	(2000)	7.3	64	162705
26	Miss Congeniality	(2000)	6.2	43	157843
27	Charlie's Angels	(2000)	5.5	52	157212
28	Chicken Run	(2000)	7.0	88	156208
29	High Fidelity	(2000)	7.5	79	153937
30	Battle Royale	(2000)	7.7	81	152804
31	Erin Brockovich	(2000)	7.3	73	150831
32	The Emperor's New Groove	(2000)	7.3	70	149000
33	Road Trip	(2000)	6.5	55	143868
34	The Perfect Storm	(2000)	6.4	59	142404
35	Dude, Where's My Car?	(2000)	5.5	30	124987
36	Hollow Man	(2000)	5.7	24	110735
37	Scream 3	(2000)	5.5	56	108826
38	Billy Elliot	(2000)	7.7	74	108317
39	The 6th Day	(2000)	5.9	49	107117
40	Shanghai Noon	(2000)	6.6	77	106906
41	What Lies Beneath	(2000)	6.6	51	106295
42	Pay It Forward	(2000)	7.2	40	104046
43	The Whole Nine Yards	(2000)	6.7	47	98632
44	Coyote Ugly	(2000)	5.6	27	97690
45	Men of Honor	(2000)	7.2	56	97376
46	In the Mood for Love	(2000)	8.1	85	96818
47	The Family Man	(2000)	6.7	42	93512
